V1	V2	V3	V4	V5
283	168	280	349	1592	4.50947870322599
284	143	152	349	487	4.50945017518411
285	6	146	349	579	4.50939144245316
286	6	143	290	349	4.50903078115257
287	6	349	668	1083	4.50896938470799
288	6	143	349	1319	4.50885478115257
289	6	143	349	407	4.50883903115257
290	143	211	241	349	4.50872057500136
291	143	152	349	465	4.50864242518411
292	152	349	668	1995	4.50849283384085
293	143	152	349	3023	4.50828567518411
294	143	168	349	392	4.50798184325104
295	143	152	349	1046	4.50788117518411
296	146	168	310	349	4.50786190539459
297	146	152	349	531	4.50778317716359
298	143	152	349	1798	4.50776143915345
299	6	143	349	1653	4.50760728115257
300	146	152	349	719	4.50716842899484
301	152	280	349	1096	4.50707550925782
302	6	146	349	2213	4.50703497430175
303	6	146	326	349	4.50693379017436
304	143	241	349	994	4.50683382500136
305	143	152	287	349	4.50679992518411
306	6	143	349	3023	4.50659353115257
307	152	349	392	1592	4.50654806934286
308	143	152	196	349	4.50648726881313
309	349	668	1083	3323	4.50639299248188
310	143	241	349	1653	4.50635657500136
311	146	152	349	2213	4.50633571176592
312	143	152	349	3235	4.50632242518411
313	143	146	349	719	4.50617822850081
314	6	146	222	349	4.50616655681267
315	6	143	349	1046	4.50610878115257
316	6	143	349	1120	4.50608393952249
317	146	168	349	3173	4.50595125650254
318	143	152	349	1287	4.50594922750622
319	146	241	310	349	4.50581534960326
320	6	349	1096	1592	4.50572272329612
321	146	152	349	1073	4.50562675514655
322	143	349	1083	1096	4.50522514112886
323	143	152	211	349	4.50501366903429
324	72	241	349	668	4.50501314719607
325	143	152	349	2054	4.50490517518411
326	143	152	349	3799	4.50485873763611
327	143	241	349	1287	4.50484864704621
328	6	143	349	1153	4.50484828115257
329	6	146	349	899	4.50469594245316
330	6	146	349	1667	4.50463253879624
331	349	668	1083	2614	4.50448157169015
332	143	152	157	349	4.50435742518411
333	143	349	668	1482	4.50431434505839
334	146	152	310	349	4.50399464182482
335	143	152	349	3444	4.50349692518411
336	310	349	668	1083	4.50344436633755
337	143	152	349	848	4.50324407351641
338	349	668	1073	1083	4.50315685681927
339	6	146	349	1120	4.5031553674624
340	143	152	349	1007	4.50286767437341
341	143	152	290	349	4.50284767518411
342	143	203	349	531	4.50276869677175
343	143	152	349	3191	4.50265817518411
344	241	310	349	1592	4.50231778918809
345	6	143	349	376	4.50229473879777
346	146	168	349	1319	4.50227413209059
347	143	152	349	1667	4.5022182573784
348	143	152	349	1319	4.50211617518411
349	143	152	349	2246	4.5020736401857
350	143	152	299	349	4.50198292518411
351	6	168	349	1482	4.50172236742278
352	152	168	241	349	4.50149670828671
353	143	241	349	392	4.50136826444861
354	46	143	152	349	4.50129842518411
355	6	143	349	754	4.50098978115257
356	143	241	349	2213	4.50091170644095
357	143	349	668	994	4.5008629093955
358	146	349	668	2246	4.50080155517017
359	349	668	1669	2184	4.50076746875935
360	146	152	349	1083	4.5005808337268
361	6	143	349	782	4.50050203115257
