V1	V2	V3	V4
106	349	668	1267	2.27449846132262
107	349	668	3525	2.27424909867903
108	146	349	1028	2.27355592187971
109	146	349	551	2.27314229358935
110	6	82	349	2.27202975182948
111	349	411	1096	2.27141068228508
112	143	349	899	2.27135830379433
113	143	168	521	2.27121816980218
114	168	280	349	2.27112248554073
115	82	146	349	2.27087097778245
116	143	349	3799	2.27002761624633
117	143	349	617	2.26999805379433
118	349	668	3323	2.26980680384675
119	146	349	1669	2.26949575056679
120	668	1083	3525	2.26909243943598
121	143	349	1319	2.26896630379433
122	143	349	1299	2.26780755379433
123	143	349	3023	2.26770355379433
124	6	349	1482	2.26769274387849
125	143	349	2054	2.26707555379433
126	152	203	349	2.26699390183766
127	143	349	939	2.26642230379433
128	143	349	3622	2.26626155379433
129	6	349	1267	2.26593297318093
130	143	349	916	2.26568530379433
131	141	349	668	2.26537668877651
132	668	1083	1669	2.26502178903746
133	143	349	407	2.26486905379433
134	349	668	1096	2.26467687404658
135	349	668	677	2.26461441176688
136	53	668	1083	2.26445388421145
137	143	349	1153	2.26431655379433
138	143	211	349	2.26430130379433
139	349	668	2734	2.26413865253797
140	6	146	152	2.26413409944612
141	241	349	2299	2.26404637986617
142	143	349	2334	2.26394805379433
143	143	349	1028	2.26384232336607
144	143	349	3444	2.26377155379433
145	222	349	668	2.26370168055366
146	143	349	879	2.26368405379433
147	146	310	349	2.26364927697555
148	203	241	349	2.26351676535676
149	146	349	899	2.26347733434695
150	152	280	349	2.26329621181235
151	6	349	1041	2.2629155653363
152	143	349	1418	2.26289574036229
153	143	287	349	2.26282255379433
154	143	189	349	2.26199105379433
155	6	241	349	2.26185897577154
156	146	349	579	2.26179283434695
157	146	349	1892	2.26122657044046
158	349	668	1418	2.26082751061379
159	152	349	1482	2.2607545328036
160	139	143	349	2.26043705379433
161	241	349	531	2.26032644422731
162	310	349	668	2.26005642770241
163	241	349	1096	2.25982836913384
164	119	143	349	2.25967089660756
165	143	349	487	2.25949105379433
166	143	349	1798	2.25945006485937
167	168	349	1995	2.2594215185404
168	280	392	1096	2.25932510098537
169	143	349	813	2.25905930379433
170	143	290	349	2.25899430379433
171	14	146	349	2.25860633434695
172	241	280	349	2.25830562413704
173	168	349	1482	2.25823071958442
174	146	349	3342	2.25786008434695
175	222	349	1482	2.25780904040133
176	14	349	1592	2.25765255880401
177	143	349	3235	2.25759755379433
178	349	1592	1669	2.25758988048468
179	241	349	3401	2.25755318749091
180	349	1073	1592	2.25750065192408
181	349	668	1466	2.25733325532308
182	349	392	411	2.25723795145869
183	349	1592	2213	2.25700852683555
184	280	349	1482	2.25683151944598
185	143	349	1204	2.25681741309487
186	668	1083	1995	2.25680704171906
187	46	143	349	2.25664780379433
188	314	349	1096	2.25620148165906
189	146	349	646	2.25596461711548
190	203	668	1083	2.25576082065379
191	668	1083	1466	2.25525052127539
192	168	349	668	2.25512991652827
193	349	579	1592	2.25512730880401
194	143	299	349	2.25495255379433
195	143	349	848	2.25458770212663
196	143	349	1532	2.25439613744402
197	143	349	1287	2.25432336363344
198	6	349	392	2.25421525265669
199	143	157	349	2.25412380379433
200	143	349	3525	2.25403150849704
201	349	899	1592	2.25382605880401
202	349	1592	3773	2.25358419333874
203	143	196	349	2.25358154587868
204	143	349	3360	2.25347605379433
205	53	143	349	2.25343271879963
206	146	152	168	2.25334098754693
207	143	349	3191	2.25293855379433
208	143	156	349	2.25293230379433
209	349	551	1592	2.25279362716787
210	241	349	710	2.25255753482078
211	152	349	1267	2.25240836559484
212	310	349	1592	2.252153955102
213	143	349	3531	2.25209111003431
214	143	349	465	2.25200905379433
215	143	349	1728	2.25182605379433
216	349	668	2463	2.25150800824603
217	143	349	2493	2.25136655379433
218	143	349	1046	2.25133255379433
219	143	349	782	2.25087380379433
220	152	349	1995	2.2507510497593
221	146	349	617	2.25072383434695
222	143	349	2320	2.25030205379433
223	146	349	3023	2.25026908434695
224	146	349	3622	2.25019508434695
225	143	349	564	2.25019145610693
226	349	434	668	2.24972690089589
227	143	349	3173	2.24964734848161
228	143	349	376	2.24940832033331
229	349	668	2401	2.2492783684167
230	152	349	1096	2.24909244166514
231	349	1592	3342	2.24883305880401
232	143	349	1667	2.24872613598862
233	392	411	1096	2.24871702733381
234	143	247	349	2.24867392573846
235	146	349	3444	2.24867108434695
236	241	349	1482	2.24865555672186
237	146	349	1319	2.24860058434695
238	143	349	3091	2.24847130379433
239	143	289	349	2.24839305379433
240	146	349	1120	2.24825679476635
241	241	349	719	2.24816706333889
242	72	241	349	2.24804351325651
243	143	349	663	2.24772215324806
244	143	349	1007	2.24754049988493
245	139	146	349	2.24716208434695
246	152	349	2463	2.24713985799936
247	146	349	994	2.24713058434695
248	143	349	543	2.24695730379433
249	143	349	3521	2.24681205379433
250	143	349	485	2.24674680379433
251	6	349	1995	2.24673865102464
252	146	189	349	2.24671608434695
253	86	143	349	2.24648805379433
254	88	143	349	2.24619255379433
255	143	349	661	2.24617430379433
256	143	349	2040	2.24574880379433
257	349	531	1592	2.24545864090253
258	146	349	521	2.24533476802076
259	314	1096	1204	2.245202010837
260	146	349	1984	2.24495583434695
261	143	152	203	2.24465743360811
262	168	349	531	2.24457538368144
263	143	349	2316	2.24445855379433
264	143	349	4343	2.24437830379433
265	143	349	688	2.24435255379433
266	349	1592	3622	2.24430630880401
267	146	349	1299	2.24421933434695
268	146	289	349	2.24416108434695
269	349	531	1096	2.24396432464472
270	349	1096	1204	2.24387473015806
271	143	222	349	2.24380429709229
272	349	617	1592	2.24379655880401
273	143	349	2614	2.24377019691428
274	280	349	1041	2.24355065010442
275	241	349	1083	2.24354545259527
276	11	146	349	2.24336816354209
277	143	349	725	2.24329380379433
278	143	349	1120	2.24297699757442
279	139	349	1592	2.24288330880401
280	349	994	1592	2.24279605880401
281	349	719	1592	2.2427069156351
282	349	1592	3023	2.24265055880401
283	146	349	1153	2.24216758434695
284	143	309	349	2.24212505379433
285	241	349	1287	2.24183600124513
286	143	349	2657	2.24180105379433
287	146	349	376	2.24167895057656
288	143	349	2100	2.24132905379433
289	143	319	349	2.24128705379433
290	349	1592	3444	2.24106080880401
291	146	156	349	2.24092458434695
292	146	349	1073	2.24071242510613
293	146	349	1728	2.24065358434695
294	143	193	349	2.24064491947057
295	143	349	739	2.24057055379433
296	143	338	349	2.24054230379433
297	143	349	1895	2.24040330379433
298	146	349	2246	2.24040308692784
299	143	349	842	2.24025830379433
300	146	168	1096	2.24018073705383
301	349	1028	1592	2.24011496818419
302	41	143	349	2.24010680379433
303	143	349	2053	2.24007594141256
304	146	349	407	2.24000758434695
305	143	349	913	2.23999880379433
306	143	349	2114	2.23987730379433
307	146	349	3799	2.2397558121472
308	143	349	1487	2.23969505379433
