V1	V2
1855	577	2316
1856	635	1083
1857	152	4347
1858	280	639
1859	14	4286
1860	349	1727
1861	1010	1798
1862	349	3044
1863	152	1041
1864	1357	1653
1865	349	4753
1866	579	617
1867	349	721
1868	579	3933
1869	349	2135
1870	152	1350
1871	349	534
1872	551	559
1873	971	1798
1874	349	1023
1875	349	3195
1876	14	3091
1877	349	1427
1878	310	867
1879	376	3135
1880	1287	3360
1881	1083	1150
1882	152	3073
1883	939	1995
1884	152	3726
1885	1083	4992
1886	211	1874
1887	152	831
1888	1176	1653
1889	879	1319
1890	215	939
1891	349	3601
1892	676	3825
1893	310	879
1894	241	879
1895	551	579
1896	579	2866
1897	152	854
1898	157	3360
1899	152	1128
1900	1083	1357
1901	105	349
1902	152	1038
1903	196	1083
1904	196	782
1905	41	2316
1906	152	791
1907	727	3360
1908	2054	2493
1909	211	2095
1910	168	241
1911	629	1319
1912	1700	3360
1913	211	260
1914	2107	2858
1915	349	2315
1916	646	1204
1917	1653	2107
1918	485	579
1919	349	428
1920	211	754
1921	349	1051
1922	349	3847
1923	663	1564
1924	211	3111
1925	105	211
1926	939	1984
1927	30	152
1928	1460	2107
1929	196	656
1930	152	3871
1931	349	3977
1932	668	2101
1933	590	939
1934	211	286
1935	349	3732
1936	1083	3111
1937	151	1115
1938	2107	3073
1939	876	939
1940	203	1591
1941	141	247
1942	349	747
1943	349	512
1944	1653	3521
1945	349	1099
