V1	V2	V3	V4	V5	V6
493	146	280	349	719	1096	7.46479279691222
494	6	143	146	349	1984	7.46476312071491
495	6	152	280	349	1096	7.46471879433519
496	143	146	152	349	3773	7.46466306199176
497	6	143	152	349	782	7.46458230795475
498	6	143	280	349	719	7.46418627562785
499	6	143	280	310	349	7.4641568834243
500	143	152	349	668	994	7.46415122103107
501	6	143	146	349	1798	7.46407268437558
502	6	139	146	152	349	7.46399073730008
503	6	146	168	349	899	7.46397656650642
504	143	152	349	531	668	7.46395078783333
505	6	143	349	392	1482	7.4637630674693
506	6	143	152	349	487	7.46336080795475
507	143	168	349	668	1096	7.46331666251266
508	146	152	349	668	1995	7.46325600794555
509	152	349	668	1083	2246	7.46321018497024
510	6	143	152	349	3799	7.4631914333947
511	152	280	349	392	1096	7.46316367998076
512	143	152	168	349	719	7.4631448162505
513	6	139	143	146	349	7.46306112071491
514	6	143	152	349	867	7.46301617305062
515	6	143	152	349	913	7.46295930795475
516	143	349	531	668	1083	7.46284756086681
517	6	146	168	349	1532	7.46282842543352
518	6	143	203	349	1096	7.46273500217291
519	6	143	152	287	349	7.46272655795475
520	146	168	349	668	1096	7.46267157913328
521	146	152	349	1096	1482	7.46262168881713
522	6	143	168	349	3773	7.46261686046249
523	143	152	280	349	1073	7.46255884207941
524	6	143	349	392	1592	7.46248583823893
525	146	349	668	1083	1096	7.46245269259756
526	6	143	152	349	916	7.46227355795475
527	143	152	168	349	392	7.46216212393373
528	6	152	168	349	1096	7.46215345666488
529	143	152	241	349	1669	7.46207109113068
530	6	146	280	349	719	7.46204603643002
531	6	146	152	349	2213	7.46194263096331
532	6	146	152	349	617	7.46192148730008
533	143	152	280	349	2213	7.46182533120965
534	143	152	280	349	551	7.46168146493223
535	6	168	241	349	1592	7.46166573437952
536	241	349	668	1083	2184	7.46153047870714
537	6	143	146	349	376	7.46152693801284
538	14	143	146	152	349	7.46145975881096
539	146	152	349	668	1592	7.46136116970782
540	6	143	152	349	891	7.46128080795475
541	143	241	310	349	1592	7.46104010085342
542	6	143	152	349	4611	7.46098980795475
543	152	168	280	349	1592	7.46095498111237
544	6	143	152	349	938	7.46089505795475
545	6	143	152	349	559	7.46089255795475
546	152	241	349	668	1083	7.46082114199553
547	143	146	152	349	1592	7.46078720404078
548	280	349	392	1096	1592	7.46063406626461
549	143	280	349	1096	1482	7.46061580997078
550	349	668	1083	2246	3525	7.46050609911931
551	6	143	280	349	1532	7.46027556313016
552	143	168	349	392	1096	7.46007638162824
553	146	152	168	310	349	7.45954192953678
554	6	143	152	349	4327	7.45952480795475
555	139	143	152	241	349	7.45928984890772
556	6	146	152	266	349	7.45928771437695
557	143	152	349	1096	1482	7.45928549936471
558	143	152	241	349	1299	7.45915859890772
559	143	146	241	349	1073	7.45902172926816
560	6	143	152	349	842	7.45881330795475
561	6	152	349	1096	1592	7.45880098215798
562	6	143	152	157	349	7.45876980795475
563	6	143	146	152	168	7.45876813282691
564	143	168	203	349	1096	7.45875902802055
565	143	152	241	349	1153	7.45875434890772
566	203	247	349	668	1083	7.45874138777848
567	6	143	168	349	1319	7.45856815910249
568	6	146	152	349	639	7.45843894914634
569	6	143	152	349	4286	7.45842530795475
570	146	168	241	349	668	7.45808762912283
571	6	143	152	349	1487	7.45807605795475
572	143	152	241	349	1319	7.45798184890772
573	6	14	143	280	349	7.45790914745711
574	143	152	349	392	1482	7.45784218953035
575	143	152	241	349	376	7.4578279081861
576	6	152	203	349	1592	7.45767571122102
577	6	143	152	349	1719	7.45759480795475
578	143	146	152	349	551	7.45754639341156
579	146	152	241	349	719	7.45743534722212
580	152	349	668	1592	1669	7.45738416318176
581	6	143	152	349	778	7.45730055795475
582	143	241	349	1073	1592	7.45719679440286
583	143	203	241	349	531	7.45715451532169
584	143	152	203	349	994	7.4570840138785
585	146	168	280	349	719	7.45689110851786
586	146	168	241	349	1995	7.45682497240293
587	143	152	310	349	1096	7.45670304582965
588	6	143	146	349	994	7.45669862071491
589	143	152	349	668	3525	7.45660883843157
590	6	143	146	349	1667	7.4565665126381
591	152	241	349	1083	1592	7.45624605778506
592	143	152	349	1073	1083	7.45616420020148
593	143	152	349	415	1073	7.45596216025717
594	143	280	349	668	1096	7.45591863469613
595	143	146	152	349	579	7.45586800881096
596	146	168	241	349	521	7.45569186757829
597	349	668	1083	2184	3525	7.45562226350339
598	6	143	152	349	879	7.45553930795475
599	143	168	349	1083	1096	7.45553808976954
600	6	143	146	349	1653	7.45552487071491
